Bank description; Nợ ; Có ; Nature 
So GD: 946A2571C74850FZ DAL_Ba Duong_Payment of Lightening testing 2025_INVOICE 164; -   ;2.160.000,00;Operating expense
So GD goc: 652A2570SFJTXBLY Berjayapak Payment fee Factory rental fr 01072025 to 30092025 fllw debit note No: INVBWD001116 date 05072025, VAT No: 00000229 date 07072025to BW L2;500.000.000,00; -   ;Receipt from tenants
So GD: 902A2571C749G11V NT2_RSQUARE_Broker fee_MISAN_Inv no.72; -   ;446.545.217,00;Operating expense
So GD goc: 10003593 BNC-VC3-Payment paid on behalf EY audit fee FY23;162.000.000,00; -   ;Internal transfer in
So GD goc: 10001500 HOAN TRA LCC10001639NGAY 29/07/2025DO SAI TEN DVH;446.545.217,00; -   ;Other receipts
CT DEN:520611768477 MRS ZHANGJUAN MR ZHU RENJIU GIU CHO NHA XUONG C4 TTNT BWBB6/IPA/25023-250725-11:51:58-1 768477;405.017.147,00; -   ;Receipt from tenants
CT DEN:520611768344 MRS ZHANGJUAN MR ZHU RENJIU GIU CHO NHA XUONG C4 TTNT BWBB6/IPA/25023-250725-11:51:58-3 768344;405.017.147,00; -   ;Receipt from tenants
CT DEN:520611768499 MRS ZHANGJUAN MR ZHU RENJIU GIU CHO NHA XUONG C4 TTNT BWBB6/IPA/25023-250725-11:51:58-4 768499;405.017.147,00; -   ;Receipt from tenants
CT DEN:520611768280 MRS ZHANGJUAN MR ZHU RENJIU GIU CHO NHA XUONG C4 TTNT BWBB6/IPA/25023-250725-11:51:58-5 768280;405.017.147,00; -   ;Receipt from tenants
CT DEN:520611768363 MRS ZHANGJUAN MR ZHU RENJIU GIU CHO NHA XUONG C4 TTNT BWBB6/IPA/25023-250725-11:51:58-2 768363;405.017.147,00; -   ;Receipt from tenants
CT DEN:640T2570ZXFSPTC5 CONG TY TNHH NHUA ASUS VIET NAM chuyen tien hoa don264 ngay 7.7.2025 lan 1;400.000.000,00; -   ;Receipt from tenants
CT DEN:285T2570UAF1GKH4 Four ES thanh toan phi thue xuong theo hoa don 762 lan 1;400.000.000,00; -   ;Receipt from tenants
TPT_Internal transfer;300.000.000,00; -   ;Internal transfer in
TPT_Internal transfer; -   ;300.000.000,00;Internal transfer out
So GD goc: 10000457 YOURCHANG TT TIEN THUE XUONG T7-8-9 C5 CHANGFANG ZU JIN;268.175.511,00; -   ;Receipt from tenants
Logos BN1_VC3_Payment of FM service fee April, May,June 2025_INVOICE 00000112,00000113,00000114;729.166.308,00; -   ;Other receipts
2520102TSA-0114750/285N2570ZCZGSXKH/NOP NSNN/So TK:0405860908440001; -   ;1.944.652.492,00;Operating expense
2520102TSA-0114751/285N2570ZD00W8RV/NOP NSNN; -   ;6.214.153.127,00;Operating expense
So GD goc: 10000465 YOURCHANG TT TIEN THUE XUONG T7-8-9 C6 CHANG FANG ZU JIN;268.175.511,00; -   ;Receipt from tenants
So GD: 285A25712BH111PR VC3_VNPT_Payment for FM Service fee in JUN25 for Project NDV JV CN3-03_INVOICE 00103484; -   ;92.432.771,00;Operating expense
Tra lai TK tien gui 212000464543;176.712.329,00; -   ;Other receipts
Tra lai TK tien gui 214000464471;176.712.329,00; -   ;Other receipts
So GD: 285A25712BV38A4Y VC3_TATHINHATHA_Claim for purchase domain ircsurvey.com; -   ;268.920,00;Operating expense
So GD: 285A25712BTMVSJ3 WL1_IMPC_ FM service fee in 06/2025.; -   ;157.194.400,00;Operating expense
So GD: 285A25712BTSV7L4 WL1_IMPC_ OT fee from 01/25 to 05/25.; -   ;28.193.000,00;Operating expense
So GD: 285A25712BV6NPQ4 VC3 THAO_Claim team facility; -   ;5.313.600,00;Operating expense
So GD: 285A25712BV9ANZQ PAULWEE_Claim reimbursement of per diem for the business trip to Singapore 01-04 Jul 2025; -   ;3.124.560,00;Operating expense
So GD: 285A25712BVH1FKS VC3_247_Postage fee for HCM office in 06.2025; -   ;17.973.538,00;Operating expense
So GD: 285A25712BXJHW54 VC3_Michael Chan_China Biz Trip Expense on June 2025; -   ;57.728.447,00;Operating expense
VC3_TANDUC_Payment fee for purchase 2 license Edit PDF Foxit Phantom Pro; -   ;13.156.000,00;Operating expense
VC3_CMC_Payment monthly services 06/2025; -   ;17.958.864,00;Operating expense
So GD: 285A2571AKCDB279 VC3_THAONGUYEN_ Claim for pantry in 05-06.2025; -   ;56.844.058,00;Operating expense
So GD: 285A2571AKCDBTBG VC3_DHL_Oversea Courie Fee in July Invoice No101528; -   ;8.052.318,00;Operating expense
So GD: 285A25712BV5CNAG VC3_KIMANH_Lunch meeting with Vietcap; -   ;2.245.320,00;Operating expense
So GD: 285A2571AKCDDE3Z VC3 MINH_Visa for China Business Trip; -   ;3.300.000,00;Operating expense
So GD: 285A25712BV7Y6SB VC3 Hoang Thi Thu Trang Chinese visa for Ms Ngoc and Toan Beijing trip in June; -   ;6.500.000,00;Operating expense
So GD: 285A2571AKELJGFU VC3_AST_Business trip expenses in 06.2025; -   ;234.719.700,00;Operating expense
So GD: 285A25712BVC1L1D VC3_THUTHAO_meeting with partner; -   ;1.933.200,00;Operating expense
So GD: 285A25712BVDA2LB VC3_KIMANH_Lunch meeting with VNDirect; -   ;723.000,00;Operating expense
So GD: 285A2571AKELJXMM VC3_VIETNHAT_2nd payment_Sale CS team outing trip_part 1; -   ;80.000.000,00;Operating expense
So GD: 285A2571AKELKDM3 VC3_SONG FOUNDATION_PAYMENT FOR SPONSORSHIP AGREEMENT; -   ;52.000.000,00;Operating expense
So GD goc: 10005760 BNC-Repayment SHL to VC3-Agreement 2;8.114.000.000,00; -   ;Internal transfer in
VC3_Internal transfer from VTB TS to VTB DSG; -   ;140.000.000,00;Internal transfer out
So GD: 285A2571AKELL57V VC3_Canh Cam - Develop BW Project Web - Full Payment; -   ;12.600.000,00;Operating expense
So GD: 285A2571AKELLFML VC3_VINEXAD_VILOG 2025 Exhibition booth decoration; -   ;12.340.950,00;Operating expense
Tra lai TK tien gui 215000464470;176.712.329,00; -   ;Other receipts
VC3_SSG_Office rental, Management fee in Q32025 and Electricity, Water fee in 062025 and Parking fee in in 072025; -   ;2.957.154.546,00;Operating expense
So GD: 285A2571AKELLU3P VC3_NGUYEN KIM CHAU_Claim for project team party; -   ;11.495.237,00;Operating expense
Tra lai TK tien gui 215000464540;176.712.329,00; -   ;Other receipts
So GD: 285A2571AKELMNDT VC3_KK_Claim for project team dinner; -   ;10.129.736,00;Operating expense
So GD: 285A2571AKCDC904 VC3_Tran Minh Ngoc_KA team internal meeting; -   ;6.226.220,00;Operating expense
So GD: 285A2571AKCDCK1M VC3_BICHNGOC_Biz Expense Perdiem and Expense - China business trip in July 2025; -   ;4.657.740,00;Operating expense
So GD: 285A2571AKELMY5F VC3_Hoang Thi Thu Trang_Physical Activity_Pickleball_Ha Noi team_07082025; -   ;4.947.642,00;Operating expense
So GD: 285A2571AKELN8KJ VC3_NAM_Reimbursement for company physical exercise - July 2025; -   ;4.561.380,00;Operating expense
So GD: 285A2571AKELNJT7 VC3_VINEXAD_VILOG 2025 Exhibition booth decoration TV Plasma; -   ;3.780.000,00;Operating expense
So GD: 285A2571AKELQU8U VC3_ BKAV_ Payment for E-Invoice service; -   ;982.800,00;Operating expense
So GD: 285A2570QU4G87WY SCD_Water, Sewage fee paid on behalf of JT from 20/05/2025 to 20/06/2025; -   ;102.474.657,00;Operating expense
So GD: 285A2571AKELR5M7 VC3_TRANBINHQUAN_Claim for purchase domains bwhaian.com  bwdinhvu.com; -   ;667.440,00;Operating expense
VC3_EFY PIT E-Certificate_Payment for Service Contract Appendix July 2025; -   ;9.945.000,00;Operating expense
285O2571CMCX4D1F 4682031219060151 JISOO KIM ADD: 568-83, PUXING RD, MINHANG DISTRICT, SHANGHAI, CHINA JISOO ENG TRANSLATOR LAST PAYMENT 30 PCT. SERVICE CONTRACT NO SH/VD/24022 DATE 30.AUG.2024; -   ;1.089.248,00;Operating expense
285O2571CQBC1UP4 310066661010149065142 JIN MAO LAW FIRM ADD: 40TH FLOOR BUND CENTER 222 EAST YAN AN ROAD SHANGHAI CHINA PMT FOR SERVICE FEE FOR JIN MAO IPA AND PLC TRANSLATION INTO CHINESE UPDATE; -   ;1.089.000,00;Operating expense
VFX - 3019105392 - 28598.5KKI0004.V01.VND # NH BAN 600 USD TY GIA 26280; -   ;15.768.000,00;Operating expense
VFX - 3019105392 - 28598.5KKI0005.V01.VND # NGAN HANG BAN 1,800USD TY GIA 26280; -   ;47.304.000,00;Operating expense
So GD: 285A2571DWPTMNE6 ANPHABE_Linkedin Services_20250724; -   ;227.311.088,00;Operating expense
So GD: 285A2571AKELPW3N VC3_Le Tuan Kiet_Meeting with client; -   ;3.201.012,00;Operating expense
So GD: 285A2571AKELQEF5 VC3_Celine_FPA team meeting; -   ;2.950.820,00;Operating expense
So GD: 285A2571FJCYG9TB CTCP Sao Hoa Toan Quoc thanh toan 50% gia tri hop dong tour Trung Quoc; -   ;52.500.000,00;Operating expense
So GD: 285A2570Z2EFNWT8 BNA_DNS1_Payment for Supplying & Installing battery Inv 00000049; -   ;5.300.000,00;Operating expense
CT DEN:519811457102 VCB.CSH.457102. 1112507179105388 CT THUAN PHONG TT CP NUOC 20250520 0620 INV 86 87 CT tu 0531002562100 CTTNHH MTV CHUYEN PHAT NHANH THUAN PHONG toi 110610727979 CT TNHH PT CONG NGHIEP BW TAN PHU TRUNG NHTMCP C;102.474.657,00; -   ;Receipt from tenants
VC3_TANDUC_ Payment for contract for renew 12-Month 2TB SharePoint Online Storages will expire 072025; -   ;111.132.000,00;Operating expense
So GD: 285A25712BH6C0FW VC3_TST_HR ADM IT Hongkong Team trip_2nd Payment_part 1; -   ;64.710.000,00;Operating expense
So GD: 285A25712GAGJ6RZ WL2A_HOANG ANH_Nameplate installation - INV.14; -   ;15.552.000,00;Operating expense
So GD: 285A25715RJA3S0S WL2A_GIA HUY_Notarization fee INV39; -   ;1.728.000,00;Operating expense
So GD: 285A2570ZE5ATNE9 BYP_BV_16th Payment request for CS Package in May.2025 Inv 2135; -   ;244.458.000,00;Operating expense
REF222A2570T1PEZW9Q B/O 1329397986 CTCP DV KHKT VA SX GOM SU KIM TRUC DONG NAI F/O 114002874189 CTY CP SAO HOA TOAN QUOC NHH27201003 KTR_VC3_Payment paid on behalf audit fee va valuation fee; -   ;101.280.000,00;Internal transfer out
TT PHI GDBD THEO TB SO 61948/TT3 NGAY 30.06.2025, Ma KH: , So HD: , So GD: 640E2570U4KETWMX; -   ;80.000,00;Operating expense
So GD goc: 222A2570T1PEZW9Q KTR_VC3_Payment paid on behalf audit fee va valuation fee;101.280.000,00; -   ;Internal transfer in
INTERNAL TRANSFER FOR PAYROLL IN JUL25; -   ;11.548.601.845,00;Operating expense
ST2_VC3_Management fee;222.189.289,00; -   ;Internal transfer in
Thanh toan lai tai khoan tien gui 817007280651 so tien 98728767 VND;98.728.767,00; -   ;Other receipts
So GD goc: 10000025 TDH CASH TRANSFER FOR REPAYMENTTO VC3/TDH CHUYEN TIEN VE VC3. DVHTAI CN KCN TIEN SON;21.400.000.000,00; -   ;Internal transfer in
So GD: 640A2570ZCYMDFLB BB6_VODA_Service fee_tenant TRAYTON; -   ;1.251.148.627,00;Operating expense
Thanh toan lai tai khoan tien gui 815008719852 so tien 98728767 VND;98.728.767,00; -   ;Other receipts
So GD: 640A25712BJGQ9NY BB6_Nguyen Thi Huyen Trang_ Service fee_tenant OTA; -   ;527.779.693,00;Operating expense
NT2_Skyworth_Refund fit out deposit; -   ;65.000.000,00;Operating expense
Tra lai tai khoan DDA;29.699.093,00; -   ;Other receipts
Tra lai tai khoan DDA;336.208,00; -   ;Other receipts
CONG TY TY TNHH CONG NGHE FUAN TT TIEN NUOC T6;6.818.541,00; -   ;Receipt from tenants
Cong ty Tianneng thanh toan tien thue xuong ky 3;2.430.588.918,00; -   ;Receipt from tenants
So GD: 902A2570SWZD4W4R BDG_Yu Tong_Refund fit out deposit_BDG/PLC/24001; -   ;65.000.000,00;Operating expense
So GD goc: 510A2570UKZKN71D Thanh toan cho cong ty BCI chi phi thue xuong thang 07-09.2025;3.010.429.362,00; -   ;Receipt from tenants
So GD: 640A25712BJHXEXM BB6_Nguyen Anh Tuan_ Service fee_tenant JUYUAN; -   ;170.863.803,00;Operating expense
So GD: 285A2570Z2EG6TEU BNA_VSIP NA_Payment for EMF fee in July 2025 Inv 757; -   ;272.130.628,00;Operating expense
So GD goc: 510A2570ZBRF4KKG Cong ty TNHH Topgoal SMT Viet Nam thanh toan tien thue xuong Quy 5.2025;1.553.696.316,00; -   ;Receipt from tenants
TTHD Tien dien Ma KH-PA13NH0039621 Ma HD-Ky 1633704023-T07.2025/NH$1; -   ;22.714.396,00;Operating expense
BNA_VinaGreen_Payment for Operation of the Wastewater Treatment System in Jun 2025 Inv 35; -   ;34.452.000,00;Operating expense
Tianneng TT cho BCI theo HD so 00000064;29.846.724,00; -   ;Receipt from tenants
Decoration deposit;65.000.000,00; -   ;Receipt from tenants
Tra lai TK tien gui 212000456127;50.054.795,00; -   ;Other receipts
So GD: 285A2570QU4L0BXK VC3_TST_HR ADM IT Hongkong Team trip_1st Payment_part 1; -   ;64.710.000,00;Operating expense
Tra lai TK tien gui 213000462161;17.605.479,00; -   ;Other receipts
So GD: 640A25712BJK5YN0 BB6_DP_ Advance_BWBB6.VD.25023_LV system installation; -   ;602.690.340,00;Operating expense
Tra no TK vay 802005237073,so tien 7562842150 VND; -   ;7.562.842.150,00;Loan repayment
Tra no TK vay 801005298895,so tien 3781853524 VND; -   ;3.781.853.524,00;Loan repayment
Tra no TK vay 807004864860,so tien 6222604930 VND; -   ;6.222.604.930,00;Loan repayment
Tra no TK vay 804007165345,so tien 187204932 VND; -   ;187.204.932,00;Loan repayment
Tra no TK vay 809007032772,so tien 225780873 VND; -   ;225.780.873,00;Loan repayment
Tra lai tai khoan DDA;3.902.730,00; -   ;Other receipts
Tra lai tai khoan DDA;18.475,00; -   ;Other receipts
So GD: 640A25712BJLEN24 BB6_GIA HUY_Pay notarized fee for docs of tenants HK ADMAIR and CHAOHONG; -   ;3.456.000,00;Operating expense
So GD: 285A25712GAMSBYT WL2A_DIEN VL_Electricity fee in 07.2025_Term 1; -   ;8.833.738,00;Operating expense
So GD: 285A25715RJ8NUYK WL2A_DIEN VL_ Electricity fee in 07/2025_Term 2.; -   ;9.748.705,00;Operating expense
So GD: 285A25712BHEDVV3 VC3_TST_HR ADM IT Hongkong Team trip_2nd Payment_part 2; -   ;21.570.000,00;Operating expense
ST2_VC3_Reimbursement of valuation fee - CWCorp-2406-BWID;56.100.000,00; -   ;Internal transfer in
Tra no TK vay 800006106657,so tien 4280241096 VND; -   ;4.280.241.096,00;Loan repayment
Tra no TK vay 800006201591,so tien 89163945 VND; -   ;89.163.945,00;Loan repayment
Tra no TK vay 800006307699,so tien 734683292 VND; -   ;734.683.292,00;Loan repayment
LMX_VC3_Reimbursement of Valuation fee - CWCorp-2406-BWID;56.100.000,00; -   ;Internal transfer in
Tra no TK vay 802006092914,so tien 864922740 VND; -   ;864.922.740,00;Loan repayment
Tra no TK vay 802006200824,so tien 356655781 VND; -   ;356.655.781,00;Loan repayment
Tra no TK vay 801006106395,so tien 1070060274 VND; -   ;1.070.060.274,00;Loan repayment
Tra no TK vay 807007157592,so tien 72160533 VND; -   ;72.160.533,00;Loan repayment
Tra no TK vay 806006306682,so tien 2938733167 VND; -   ;2.938.733.167,00;Loan repayment
Tra no TK vay 806006916212,so tien 129145206 VND; -   ;129.145.206,00;Loan repayment
Tra no TK vay 808006092887,so tien 216230686 VND; -   ;216.230.686,00;Loan repayment
Tra no TK vay 808006115434,so tien 295189041 VND; -   ;295.189.041,00;Loan repayment
Tra no TK vay 808007156729,so tien 288642133 VND; -   ;288.642.133,00;Loan repayment
Tra no TK vay 809006115228,so tien 1180756164 VND; -   ;1.180.756.164,00;Loan repayment
Tra no TK vay 809006730418,so tien 3468471233 VND; -   ;3.468.471.233,00;Loan repayment
Tra no TK vay 809006733933,so tien 867117808 VND; -   ;867.117.808,00;Loan repayment
Tra lai tai khoan DDA;1.795.025,00; -   ;Other receipts
Tra lai tai khoan DDA;17.156,00; -   ;Other receipts
Tra lai tai khoan DDA;16.749,00; -   ;Other receipts
Tra lai tai khoan DDA;67.659,00; -   ;Other receipts
BB6_LIEN_Claimback notarized fee for docs of tenants; -   ;3.850.000,00;Operating expense
So GD: 946A25712BYD4C4S MSP_VC3_Payment for Audit fees for Fiscal year 2023; -   ;49.140.000,00;Internal transfer out
BYP TAT TOAN MOT PHAN TIET KIEM;2.000.000.000,00; -   ;Internal transfer in
BYP TAT TOAN MOT PHAN TIET KIEM;10.958,00; -   ;Other receipts
BYP_VSIP BN_Payment for EMF fee Quarter 3/2025 Inv 2512; -   ;594.000.000,00;Operating expense
BYP_DIENBN_Payment for Power consumption fee in Jul 2025 From 11/07/2025 to 20/07/2025; -   ;22.012.556,00;Operating expense
Tra lai tai khoan DDA;220.263,00; -   ;Other receipts
Tra lai tai khoan DDA;15.481,00; -   ;Other receipts
Tra lai tai khoan DDA;42.366,00; -   ;Other receipts
Tra lai tai khoan DDA;13.129,00; -   ;Other receipts
Tra lai tai khoan DDA;1.444,00; -   ;Other receipts
So GD: 946A25712BYC93NS TSP_VC3_ Payment for Audit fees for Fiscal year 2023; -   ;49.140.000,00;Internal transfer out
Thanh toan lai tai khoan tien gui 810008720203 so tien 28273973 VND;28.273.973,00; -   ;Other receipts
So GD goc: 10002357 TT VNMN2EFIW N LEOCH ENERGY TT TIEN DIENC2.01 DEN C2.06 21/05/2025DEN 21/06/2025;18.067.580,00; -   ;Receipt from tenants
So GD: 640A2570SKDVGTDS BB6_BECAMEX_ Electricity fee in 07/2025_Term 1.; -   ;13.840.215,00;Operating expense
So GD: 285A2571FJCX2PL4 SHTQ_VERAC_FDI data; -   ;16.500.000,00;Operating expense
So GD goc: 10000675 Telcon pays for leasing fee quarter3.2025inv.48 ChargeDetails OUR;1.144.563.810,00; -   ;Receipt from tenants
CTY JU YUAN TT HD 36 + HD 47;22.065.184,00; -   ;Receipt from tenants
So GD: 285A2571AKCDBEHV VC3_Ha Vinh Phuc_Reimbursement for Business trip at Tan Hiep project_Jun 2025; -   ;15.000.000,00;Operating expense
MR ZHOA FENG CHUYEN TIEN GIU CHO NX C3.06.BB06;342.500.000,00; -   ;Receipt from tenants
TTHD Tien nuoc Ma KH-8803050022 Ma HD-Ky 7/2025$88; -   ;9.867.690,00;Operating expense
So GD: 640A25712BJFB1MX BB6_IMPC_ OT fee from 01/2025 to 05/2025.; -   ;19.115.250,00;Operating expense
So GD: 285A2571AKELKRZ8 VC3_VIETNHAT_2nd payment_Sale CS team outing trip_part 2; -   ;15.000.000,00;Operating expense
So GD: 285A2570Z6CGLGT5 BHP_EES_Payment for WWTP Operation in May 25 Inv 00000135; -   ;15.032.520,00;Operating expense
So GD: 285A2570ZE5BDHNK BHP_Payment for Office expense for BW Hai Phong Office in Jun 2025 Inv 00003745; -   ;3.051.108,00;Operating expense
So GD: 285A2571C74CDPDY BHP_EES_Payment for WWTP Operation fee in Jun 2025 Inv 00000155; -   ;27.257.040,00;Operating expense
So GD: 640A25712BTDPCBE BB6_IMPC_ FM fee in 06/2025.; -   ;314.671.057,00;Operating expense
fangzu;259.791.026,00; -   ;Receipt from tenants
Management fee and rent for July 25  D8 D7 Phi su dung dich vu tien ich va phi thue xuong T7 hoa don 41 42 ngay 07 07 25;1.938.893.918,00; -   ;Receipt from tenants
CT DEN:640T25714JVW2E37 CONG TY TNHH CONG NGHE WINNERS POWDER VIET NAM chuyen tien CT TNHH PHAT TRIEN CN BW BAU BANG BB06 TK: 115624079999 tai Nh VietinBank/ TIEN DAT COC NHA XUONG BW;1.066.833.409,00; -   ;Receipt from tenants
Tra lai TK tien gui 215000449171;28.273.973,00; -   ;Other receipts
So GD: 640A25715PB2S0K0 BB6_BECAMEX_ Electricity fee in 07/2025_Term 2.; -   ;13.140.907,00;Operating expense
So GD: 285A2570QU4M4GWC VC3_TST_HR ADM IT Hongkong Team trip_1st Payment_part 2; -   ;21.570.000,00;Operating expense
So GD: 285A25712GAQGBTG XA1_SBR_Refund Security Deposit; -   ;342.746.400,00;Operating expense
Thanh toan lai tai khoan tien gui 813011516527 so tien 21205479 VND;21.205.479,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 814007227684 so tien 21205479 VND;21.205.479,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 817007296714 so tien 17671233 VND;17.671.233,00; -   ;Other receipts
Tra lai TK tien gui 210000461056;17.671.233,00; -   ;Other receipts
Tra lai TK tien gui 218000465643;17.671.233,00; -   ;Other receipts
Tra lai TK tien gui 219000461096;65.589.041,00; -   ;Other receipts
Tra lai TK tien gui 215000465973;17.671.233,00; -   ;Other receipts
Tra no TK vay 801006039198,so tien 18102121287 VND; -   ;18.102.121.287,00;Loan repayment
Tra no TK vay 809005198276,so tien 29402008086 VND; -   ;29.402.008.086,00;Loan repayment
So GD: 285A25712GAHW22R XA1_HOANG ANH_Nameplate installation - INV.17; -   ;1.620.000,00;Operating expense
Tra lai TK tien gui 219000465302;17.671.233,00; -   ;Other receipts
2520102TSA-0118643/640N2571AKDQF9P8/NOP NSNN; -   ;351.127.401,00;Operating expense
CT DEN:520903719171 DP thanh toan phi quan ly theo HD so 00000037 ngay 30062025;84.071,00; -   ;Receipt from tenants
THANH TOAN HOA DON SO 53;30.571,00; -   ;Receipt from tenants
So GD: 640A2570ZE57RC5A BWD_GIA HUY_Translate, notarize fee for Runsen license_Inv no.00000025; -   ;1.620.000,00;Operating expense
Security deposit;1.275.742.212,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;14.033,00; -   ;Other receipts
So GD goc: 10000349 HOAN TRA LCC 10002759 NGAY 31/07/2025 DO SAI TK DVH;16.500.000,00; -   ;Other receipts
So GD: 640A2570QU4HJNM5 BWD_CITEK_Payment for leasing integration NS - OA_PHASE 1.2 FOR LEASING_Inv no.35; -   ;193.410.221,00;Operating expense
So GD: 285A25712GAK3VHW XA2_HOANG ANH_Nameplate installation - INV.19; -   ;1.620.000,00;Operating expense
Thanh toan lai tai khoan tien gui 813010526699 so tien 14136986 VND;14.136.986,00; -   ;Other receipts
Tra lai tai khoan DDA;38.529,00; -   ;Other receipts
Tra lai tai khoan DDA;3.910,00; -   ;Other receipts
Tra lai tai khoan DDA;17.621,00; -   ;Other receipts
Tra lai tai khoan DDA;25.730,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 819007660245 so tien 14136986 VND;14.136.986,00; -   ;Other receipts
Tra lai TK tien gui 217000456229;14.136.986,00; -   ;Other receipts
Tra lai tai khoan DDA;8.843,00; -   ;Other receipts
Tra lai tai khoan DDA;889.236,00; -   ;Other receipts
Tra lai tai khoan DDA;20.222,00; -   ;Other receipts
Tra lai tai khoan DDA;1.087,00; -   ;Other receipts
CONG TY TNHH AUTEL ROBOTICS VIET NAM THANH TOAN PHI THUE NHA XUONG VA THUE NHA XE  T7+8+9;3.178.126.275,00; -   ;Receipt from tenants
So GD goc: 10008012 Payment for workshop rental in Q3/2025 and monthly management expenses in June (including electricity management, and;378.686.837,00; -   ;Receipt from tenants
So GD: 640A2570UGWQ7VFJ BWD_PHUC HUNG KIM_Licensing fee for tenant Talento House - Unit D_Inv no.81; -   ;81.000.000,00;Operating expense
So GD: 640A2570UGWRFZKS BWD_Nguyen Anh Tuan_Consulting service fee_Tenant DINHHONG; -   ;277.631.172,00;Operating expense
So GD: 285A2570ZE5C45AM BHP_Megaspace_Payment 90% contract value of Repairing the outside rainwater drainage system Inv 00000039; -   ;86.034.628,00;Operating expense
So GD: 285A2570ZE5DB2FG BHP_DIENHP_Payment for Annual testing for lightning system 2025 Inv 00000225; -   ;3.672.000,00;Operating expense
BHP_VSIPHP_Pmt for EMF fee Q3.25 Inv 1902, Water & Wastewater consumption Inv 1950, Power consumption & Registed Power Demand Inv 1951/52/53/54; -   ;705.647.165,00;Operating expense
So GD goc: 10000602 CTY CCICVN-HP THANH TOAN TIEN NUOCINV 00000144;3.596.090,00; -   ;Receipt from tenants
So GD goc: 10000601 CTY CCICVN-HP THANH TOAN TIEN DIENT6.2025;5.747.500,00; -   ;Receipt from tenants
So GD goc: 10000599 CTY CCICVN-HP THANH TOAN TIEN THUEVAN PHONG Q3.2025 INV 00000154;374.731.974,00; -   ;Receipt from tenants
Tra no TK vay 801003729376,so tien 3764310059 VND; -   ;3.764.310.059,00;Loan repayment
Tra no TK vay 801004318407,so tien 2128869655 VND; -   ;2.128.869.655,00;Loan repayment
So GD: 640A25715PB6QWYP BWD_Citek_Fees for building Covenant testing on ERP System_Inv no.46; -   ;100.584.000,00;Operating expense
Tra lai tai khoan DDA;529; -   ;Other receipts
Tra lai tai khoan DDA;39.688,00; -   ;Other receipts
Tra lai tai khoan DDA;12.306,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 815005836440 so tien 10602740 VND;10.602.740,00; -   ;Other receipts
Tra lai TK tien gui 218000455204;10.602.740,00; -   ;Other receipts
Tra lai TK tien gui 210000458876;10.602.740,00; -   ;Other receipts
Tra lai TK tien gui 210000444999;10.602.740,00; -   ;Other receipts
So GD goc: 10001088 INTERNAL TRANSFER FROM UOB TO VTB;77.000.000.000,00; -   ;Internal transfer in
REF222A2571G0CMLTKY B/O 2220131688 CTY TNHH PT CONG NGHIEP HAU CAN BW HAI A F/O 0541000224236 VU THI HANG NHH01203001 BHA_VU THI HANG_Payment of Administrative expense; -   ;10.000.000,00;Operating expense
So GD: 640A25715PBD222J BBA_THAO_Meeting expense; -   ;10.000.000,00;Operating expense
Tra lai TK tien gui 213000466782;342.821.918,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 817001485788 so tien 7068493 VND;7.068.493,00; -   ;Other receipts
VC3 CHUYEN TIEN CHO CTY HOLDCON4C/TRANSFER MONEY TO HOLDCON4C; -   ;170.900.000.000,00;Internal transfer out
TAT TOAN HDTG SO 640.2025.20846;97.000.000.000,00; -   ;Internal transfer in
TAT TOAN HDTG SO 640.2025.20846;1.063.014,00; -   ;Other receipts
Tra lai tai khoan DDA;68.200.036,00; -   ;Other receipts
Tra no TK vay 800006012862,so tien 14811705236 VND; -   ;14.811.705.236,00;Loan repayment
Thanh toan lai tai khoan tien gui 817010925175 so tien 7068493 VND;7.068.493,00; -   ;Other receipts
Tra lai tai khoan DDA;128.226,00; -   ;Other receipts
Tra lai tai khoan DDA;19.586,00; -   ;Other receipts
So GD goc: 10004297 [3185801579] NH CONG THUONG DONG DA HN FEE;328.645.424,00; -   ;Receipt from tenants
So GD: 285A2570QU4CTGQH SCD_ Water Sewage fee paid on behalf of SPX in June 2025 _ TPT4; -   ;5.985.620,00;Operating expense
So GD goc: 10000908 SPX WH_Utilities 50SOCMC 21/05-20/06/2025 1C25TBA-88 1C25TBA-89;5.985.620,00; -   ;Receipt from tenants
So GD goc: 10009170 [3185819471] NH CONG THUONG DONG DA HN FEE;426.956.038,00; -   ;Receipt from tenants
TTHD Tien dien Ma KH-PB06030112113 Ma HD-Ky 201547740663TD-T07.2025/0; -   ;94.234.696,00;Operating expense
Tra lai TK tien gui 215000439492;275.671.233,00; -   ;Other receipts
So GD: 640A25715PBH3U3W BB6_BIWASE_ Water fee in 07/2025.; -   ;4.318.020,00;Operating expense
Phi duy tri TKTT theo yeu cau tai khoan 115624079999 thang 07-2025; -   ;30.000,00;Operating expense
So GD goc: 10003325 [3185833125] NH CONG THUONG DONG DA HN FEE;449.201.178,00; -   ;Receipt from tenants
So GD goc: 990A25715QXTGMCA HOAN TRA LCT 640A25715PBH3U3W NGAY 25.07.2025 DO SAI SO TK DVH;4.318.020,00; -   ;Other receipts
